term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
pichon,-0.008605594940113093,0.020982719379385846,0.01759510794619947,-0.009387058614479622,-0.005075135626984945,0.003795311610028209,-0.001021124349904673,0.0006732548105950922,0.0025502193599336387,-3.589174554192661e-16
manson,-0.008605594940113093,0.020982719379385846,0.01759510794619947,-0.009387058614479622,-0.005075135626984945,0.003795311610028209,-0.001021124349904673,0.0006732548105950922,0.0025502193599336387,-3.589174554192661e-16
cicero,-0.008605594940113093,0.020982719379385846,0.01759510794619947,-0.009387058614479622,-0.005075135626984945,0.003795311610028209,-0.001021124349904673,0.0006732548105950922,0.0025502193599336387,-3.589174554192661e-16
julian,-0.008605594940113093,0.020982719379385846,0.01759510794619947,-0.009387058614479622,-0.005075135626984945,0.003795311610028209,-0.001021124349904673,0.0006732548105950922,0.0025502193599336387,-3.589174554192661e-16
mccarthy,-0.008605594940113093,0.020982719379385846,0.01759510794619947,-0.009387058614479622,-0.005075135626984945,0.003795311610028209,-0.001021124349904673,0.0006732548105950922,0.0025502193599336387,-3.589174554192661e-16
ethiopians,-0.008605594940113093,0.020982719379385846,0.01759510794619947,-0.009387058614479622,-0.005075135626984945,0.003795311610028209,-0.001021124349904673,0.0006732548105950922,0.0025502193599336387,-3.589174554192661e-16
amos,0.007787726517761119,0.010589150551154067,-0.0038917808770767433,0.013126055424456422,0.0006740608880570465,-0.009672827842781312,0.013963148553574922,-0.004495646907609346,-0.004652923579096016,-2.965143139993676e-16
minnie,-0.008620991831298915,0.002649092680096669,-0.0102568284017871,-0.0009468617945353722,0.008841922021442166,0.014078841145876386,0.010608585667932236,0.0017032438941105104,0.00014651212701354978,-8.215131196334694e-17
dennis,-0.007676471589945319,-0.00694136931001384,-0.001104106255688379,0.005820419801004609,-0.01829218953118028,-0.008718898709428212,0.009411906517679553,0.01381216114432673,-0.008286644485466585,7.505941721204336e-17
harlem,-0.005727695315879559,-0.005146332994135429,0.005681727403754347,0.003396643606103622,-0.0047369669894489685,-0.0013214553979153834,0.0011766702075958681,0.003292691698233374,-0.0018140235640693998,2.2803806283355354e-17
watson,0.0018606315997802762,-0.000216005955673504,-0.008327075676655239,-0.009897106104334611,0.0015530574248766049,-0.007598605598573548,-0.009314156060113375,-0.0028788674261793733,-0.003539292685468088,1.2723735899185265e-16
bootsy,0.013935941485633247,-0.0011972436746121352,-0.005150912384576437,-0.010871634716917475,-0.007695986715744632,0.008570609539546529,-0.008641300297952919,-0.00794622313078298,-0.019736803227931112,2.0754467811134725e-16
cameras,0.013935941485633247,-0.0011972436746121352,-0.005150912384576437,-0.010871634716917475,-0.007695986715744632,0.008570609539546529,-0.008641300297952919,-0.00794622313078298,-0.019736803227931112,2.0754467811134725e-16
grass,-0.004740331310325121,-0.008387097037497198,-0.0018281266602237823,0.0008297028319545301,-0.017999730459818664,-0.0072440313439458785,0.00778491012066335,0.012092116531283488,-0.0013045518524092935,8.107189548421756e-17
bassey,-0.010636329256062222,-0.00017569506893373995,-0.01198406998772285,-0.004567660401050313,0.008701581386218243,0.004580907943956719,0.004136509348642008,0.00492224172894706,-0.0013041791377416687,3.5040266886573205e-17
dandridge,-0.011041445128744274,-0.001625451021712596,-0.007017355454540637,0.0019803479945635447,0.004127314286532468,-0.005338203425613168,-0.009853143411503066,-0.007058646796322785,0.002053722499408452,1.232414055405994e-16
